model                 , question                                                                                              , hit@1, hit@3, hit@5, mrr   , latency_ms, memory_mb
BAAI/bge-small-en-v1.5, "VSCode Python extension loading forever, saying “Reactivating terminals”"                            ,     0,     1,     1, 0.5   ,     518.93,    1821.6
BAAI/bge-small-en-v1.5, "UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown plt.show()"                ,     0,     1,     1, 0.5   ,      75.33,    1829.0
BAAI/bge-small-en-v1.5, "numpy.dtype size changed, may indicate binary incompatibility. Expected 96 from C header, got 88 fro",     0,     1,     1, 0.5   ,      62.94,    1829.0
BAAI/bge-small-en-v1.5, "pandas FutureWarning: Downcasting object dtype arrays on .fillna, .ffill, .bfill is deprecated and w",     0,     1,     1, 0.5   ,      58.44,    1829.3
BAAI/bge-small-en-v1.5, &quot;cannot import name &#39;DEFAULT_CIPHERS&#39; from &#39;urllib3.util.ssl_&#39;&quot; on AWS Lam  ,     1,     1,     1, 1.0   ,      63.34,    1829.4
BAAI/bge-small-en-v1.5, AttributeError: module &#39;pkgutil&#39; has no attribute &#39;ImpImporter&#39;. Did you mean: &#39;  ,     1,     1,     1, 1.0   ,      64.44,    1830.1
BAAI/bge-small-en-v1.5, AttributeError: module &#39;PIL.Image&#39; has no attribute &#39;ANTIALIAS&#39;                       ,     0,     1,     1, 0.5   ,      33.62,    1830.1
BAAI/bge-small-en-v1.5, Logging Error: Failed to initialize logging system. Log messages may be missing.?                     ,     0,     1,     1, 0.5   ,      27.48,    1830.1
BAAI/bge-small-en-v1.5, Why did Flask start failing with &quot;ImportError: cannot import name &#39;url_quote&#39; from &#39  ,     0,     1,     1, 0.5   ,      45.24,    1830.1
BAAI/bge-small-en-v1.5, How can I migrate from Poetry to UV package manager?                                                  ,     0,     1,     1, 0.5   ,      45.97,    1830.3
BAAI/bge-small-en-v1.5, Why did I get an error ModuleNotFoundError: No module named &#39;distutils&#39;?                      ,     0,     1,     1, 0.3333,      28.52,    1830.3
BAAI/bge-small-en-v1.5, "Alternative to .concat() of empty dataframe, now that it is being deprecated?"                       ,     1,     1,     1, 1.0   ,      34.48,    1830.4
BAAI/bge-small-en-v1.5, OpenAI Python Package Error: &#39;ChatCompletion&#39; object is not subscriptable                     ,     0,     1,     1, 0.3333,      43.13,    1830.4
BAAI/bge-small-en-v1.5, Why list comprehensions create a function internally?                                                 ,     0,     1,     1, 0.5   ,      42.58,    1830.5
BAAI/bge-small-en-v1.5, TypeError: WebDriver.__init__() got an unexpected keyword argument &#39;executable_path&#39; in Sele  ,     0,     1,     1, 0.5   ,      27.02,    1830.5
BAAI/bge-small-en-v1.5, Deprecation Warning with groupby.apply                                                                ,     0,     1,     1, 0.5   ,      42.99,    1830.8
BAAI/bge-small-en-v1.5, &quot;ImportError: cannot import name &#39;triu&#39; from &#39;scipy.linalg&#39;&quot; when importin  ,     0,     1,     1, 0.5   ,      43.18,    1830.8
BAAI/bge-small-en-v1.5, How to configure FastAPI logging so that it works both with Uvicorn locally and in production?        ,     0,     1,     1, 0.5   ,      52.74,    1832.3
BAAI/bge-small-en-v1.5, How to invoke Github Copilot programmatically?                                                        ,     0,     1,     1, 0.3333,      48.12,    1832.9
BAAI/bge-small-en-v1.5, Solve conda-libmamba-solver (libarchive.so.19) error after updating conda to 23.11.0 without reinsta  ,     0,     1,     1, 0.3333,      43.89,    1832.9
BAAI/bge-small-en-v1.5, langchain : ModuleNotFoundError: No module named &#39;langchain_community&#39;                        ,     0,     1,     1, 0.3333,      27.24,    1832.9
BAAI/bge-small-en-v1.5, pip install RandomWords: &quot;No module named &#39;setuptools.command.test&#39;&quot;                ,     0,     1,     1, 0.3333,      30.39,    1832.9
BAAI/bge-small-en-v1.5, Only the first row of annotations displayed on seaborn heatmap                                        ,     0,     1,     1, 0.5   ,      29.65,    1832.9
BAAI/bge-small-en-v1.5, Theoretically can the Ackermann function be optimized?                                                ,     0,     1,     1, 0.3333,      51.48,    1833.3
BAAI/bge-small-en-v1.5, How can I process a pdf using OpenAI&#39;s APIs (GPTs)?                                               ,     0,     1,     1, 0.5   ,      47.98,    1833.3
BAAI/bge-small-en-v1.5, Docker Alpine build fails on mysqlclient installation with error: Exception: Can not find valid pkg-  ,     0,     1,     1, 0.5   ,      38.69,    1833.3
BAAI/bge-small-en-v1.5, selenium.common.exceptions.SessionNotCreatedException: This version of ChromeDriver only supports Ch  ,     0,     1,     1, 0.3333,      33.23,    1833.3
BAAI/bge-small-en-v1.5, Selecting default search engine is needed for Chrome version 127                                      ,     0,     1,     1, 0.5   ,      26.85,    1833.3
BAAI/bge-small-en-v1.5, Selenium WebDriver Chrome 115 stopped working                                                         ,     0,     1,     1, 0.3333,      50.16,    1833.3
BAAI/bge-small-en-v1.5, Why is builtin sorted() slower for a list containing descending numbers if each number appears twice  ,     1,     1,     1, 1.0   ,      48.89,    1833.3
BAAI/bge-small-en-v1.5, How to create a langchain doc from an str?                                                            ,     0,     1,     1, 0.5   ,      42.72,    1833.3
BAAI/bge-small-en-v1.5, TypeError: WebDriver.__init__() got multiple values for argument &#39;options&#39;                    ,     0,     1,     1, 0.5   ,      33.09,    1833.3
BAAI/bge-small-en-v1.5, &#39;super&#39; object has no attribute &#39;__sklearn_tags__&#39;                                    ,     0,     1,     1, 0.3333,      27.85,    1833.3
BAAI/bge-small-en-v1.5, SSL: CERTIFICATE_VERIFY_FAILED certificate verify failed: unable to get local issuer certificate (_s  ,     0,     1,     1, 0.5   ,      27.56,    1833.3
BAAI/bge-small-en-v1.5, MultiQC: ModuleNotFoundError: No module named &#39;imp&#39;                                           ,     0,     1,     1, 0.3333,      26.25,    1833.3
BAAI/bge-small-en-v1.5, A module that was compiled using NumPy 1.x cannot be run in NumPy 2.0.0 as it may crash               ,     1,     1,     1, 1.0   ,      42.16,    1833.3
BAAI/bge-small-en-v1.5, How can i solve ImportError: Using the `Trainer` with `PyTorch` requires `accelerate&gt;=0.20.1` whe  ,     0,     1,     1, 0.5   ,      43.72,    1833.3
BAAI/bge-small-en-v1.5, "Why is &quot;dict[int, int]&quot; incompatible with &quot;dict[int, int | str]&quot;?"               ,     0,     1,     1, 0.5   ,      42.33,    1833.3
BAAI/bge-small-en-v1.5, NotImplementedError: Loading a dataset cached in a LocalFileSystem is not supported                   ,     0,     1,     1, 0.3333,      43.16,    1833.3
BAAI/bge-small-en-v1.5, Import vaex error: PydanticImportError: `BaseSettings` has been moved to the `pydantic-settings` pac  ,     0,     1,     1, 0.5   ,      26.36,    1833.3
BAAI/bge-small-en-v1.5, .corr results in ValueError: could not convert string to float                                        ,     0,     1,     1, 0.3333,      40.53,    1833.3
BAAI/bge-small-en-v1.5, Python zip magic for classes instead of tuples                                                        ,     0,     1,     1, 0.5   ,      31.0 ,    1833.3
BAAI/bge-small-en-v1.5, PydanticUserError: If you use `@root_validator` with pre=False (the default) you MUST specify `skip_  ,     0,     1,     1, 0.3333,      41.91,    1833.3
BAAI/bge-small-en-v1.5, A module that was compiled using NumPy 1.x cannot be run in NumPy 2.0.0                               ,     0,     1,     1, 0.3333,      47.03,    1833.3
BAAI/bge-small-en-v1.5, Unable to use Selenium Webdriver. Getting two exceptions                                              ,     1,     1,     1, 1.0   ,      40.74,    1833.3
BAAI/bge-small-en-v1.5, Accelerate and bitsandbytes is needed to install but I did                                            ,     0,     1,     1, 0.3333,      28.25,    1833.3
BAAI/bge-small-en-v1.5, streamlit: Your system has an unsupported version of sqlite3. Chroma requires sqlite3 &gt;= 3.35.0    ,     0,     1,     1, 0.5   ,      36.65,    1833.3
BAAI/bge-small-en-v1.5, ModuleNotFoundError: No module named &#39;imp&#39;                                                    ,     1,     1,     1, 1.0   ,      41.87,    1833.3
