model               , question                                                                                                                  , expected_answer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , generated_answer                                                                                                                                                                                                                                                                                                                                        , confidence, is_fallback, rougeL              , bert_score        , latency_ms, is_hallucination, memory_mb
google/flan-t5-small, What is machine learning?                                                                                                 , Machine learning is a subset of artificial intelligence that enables computers to learn and make decisions from data without being explicitly programmed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , a subset of AI that enables systems to learn patterns from data and improve with experience                                                                                                                                                                                                                                                             ,      0.949, False      , 0.47368421052631576 , 0.9185868501663208,     925.12,                0,     445.2
google/flan-t5-small, Who created Python?                                                                                                       , Python was created by Guido van Rossum.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , Guido van Rossum                                                                                                                                                                                                                                                                                                                                        ,      0.968, False      , 0.6                 , 0.9194921255111694,     107.26,                0,     635.8
google/flan-t5-small, When was Python first released?                                                                                           , Python was first released in 1991.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , February 1991                                                                                                                                                                                                                                                                                                                                           ,      0.954, False      , 0.25                , 0.8910037279129028,      61.65,                0,     644.3
google/flan-t5-small, What are the three main types of machine learning?                                                                        , "The three main types of machine learning are supervised learning, unsupervised learning, and reinforcement learning."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "Unsupervised (pattern finding), 3) Reinforcement"                                                                                                                                                                                                                                                                                                      ,      0.859, False      , 0.2                 , 0.8435136675834656,     157.12,                0,     651.6
google/flan-t5-small, What is Python used for?                                                                                                  , "Python is widely used in web development, data science, artificial intelligence, automation, and scientific computing."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , CPython                                                                                                                                                                                                                                                                                                                                                 ,      0.76 , False      , 0.0                 , 0.8034505844116211,      87.84,                0,     659.5
google/flan-t5-small, What is supervised learning?                                                                                              , Supervised learning uses labeled data to train models.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Models are trained using labeled datasets where each example has known input-output pairs                                                                                                                                                                                                                                                               ,      0.941, False      , 0.18181818181818182 , 0.8658292293548584,     226.52,                0,     664.7
google/flan-t5-small, Name some popular Python libraries.                                                                                       , "Popular Python libraries include NumPy for numerical computing, Pandas for data manipulation, and TensorFlow for machine learning."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , NumPy                                                                                                                                                                                                                                                                                                                                                   ,      0.852, False      , 0.1111111111111111  , 0.8637229204177856,      81.41,                0,     645.7
google/flan-t5-small, What programming paradigms does Python support?                                                                           , "Python supports multiple programming paradigms, including procedural, object-oriented, and functional programming."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "I/O, system calls, and internet protocols"                                                                                                                                                                                                                                                                                                             ,      0.866, False      , 0.10526315789473685 , 0.833050012588501 ,     136.18,                0,     642.8
google/flan-t5-small, How does reinforcement learning work?                                                                                     , Reinforcement learning involves agents learning through interaction with an environment.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , By taking actions in an environment to maximize cumulative reward signals through trial and error.                                                                                                                                                                                                                                                      ,      0.917, False      , 0.16                , 0.8786993622779846,     189.8 ,                0,     644.8
google/flan-t5-small, What is the difference between supervised and unsupervised learning?                                                      , "Supervised learning uses labeled data to train models, while unsupervised learning finds patterns in unlabeled data."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "Supervised learning requires labeled training data (input-output pairs), while unsupervised learning discovers hidden patterns in unlabeled data."                                                                                                                                                                                                     ,      0.957, False      , 0.6470588235294118  , 0.9409010410308838,     356.56,                0,     642.9
google/flan-t5-small, Why does inspect fail to get source file for classes in a dynamically-imported module?                                    , "The logic for getting the source file for a class looks like this: if isclass(object): if hasattr(object, '__module__'): module = sys.modules.get(object.__module__) if getattr(module, '__file__', None): return module.__file__ if object.__module__ == '__main__': raise OSError('source code not available') raise TypeError('{!r} is a built-in class'.format(object)) In your case module.Bar.__module__ is 'thing2', which has not been added to sys.modules. Hence this machinery concludes (incorrectly) that it must be built-in, and raises an error claiming as much. Am I missing something during my import step that tells Python how to get source info for classes? Yes; note that the recipe in the importlib docs includes an explicit step to update sys.modules, as exec_module doesn't do it: import importlib.util import sys def import_from_path(module_name, file_path): spec = importlib.util.spec_from_file_location(module_name, file_path) module = importlib.util.module_from_spec(spec) sys.modules[module_name] = module spec.loader.exec_module(module) return module Similarly adding sys.modules[&quot;thing2&quot;] = module into thing1.py would allow it to show the class implementation."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , I cannot confidently answer based on the provided context.                                                                                                                                                                                                                                                                                              ,      0.839, False      , 0.01990049751243781 , 0.825993537902832 ,     184.67,                0,     677.6
